b'Fabrilife Premium 7 Layer cotton face Mask - Rose Pink Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Red Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Red Wine Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Purple Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Pink Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Navy Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Green Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Charcoal Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Black Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Pen Spray Bottle Without Liquid - 1 Pcs - White - 10 ml',b'Tk.30',b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
b'Dr. Rhazes Ultra Protect Gel (2 Hour Protection) - 100 ml',b'Tk.130',b'\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\x83 \xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\xaf\xe0\xa7\x87\xe0\xa6\xb8\xe0\xa7\x8d'
b'LAFZ Germ Kill Hand Gel - 100 ml',b'Tk.100',b'\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xab\xe0\xa6\x9c'
b'Dr. Rhazes 7 day Surface Disinfectant Shield-Spray',b'Tk.400',b'\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\x83 \xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\xaf\xe0\xa7\x87\xe0\xa6\xb8\xe0\xa7\x8d'
b'Dr. Rhazes Germ Kill Spray Foam',b'Tk.250',b'\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\x83 \xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\xaf\xe0\xa7\x87\xe0\xa6\xb8\xe0\xa7\x8d'
b'ZM LABS  Lemon Hand Sanitizer Gel - 85 ml',b'Tk.85',b'\xe0\xa6\x9c\xe0\xa7\x87\xe0\xa6\xa1 \xe0\xa6\x8f\xe0\xa6\xae \xe0\xa6\xb2\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb8\xe0\xa7\x8d'
b'ZM LABS Orange Hand Sanitizer Gel - 85 ml',b'Tk.85',b'\xe0\xa6\x9c\xe0\xa7\x87\xe0\xa6\xa1 \xe0\xa6\x8f\xe0\xa6\xae \xe0\xa6\xb2\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb8\xe0\xa7\x8d'
b'Individually Seal Packed 3-Layer China Surgical Mask - 1 Pcs',b'Tk.40',b'\xe0\xa6\xae\xe0\xa7\x87\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa6\xaa'
b'Lifebuoy Hand Sanitizer - 100 ml',b'Tk.130',b'\xe0\xa6\x87\xe0\xa6\x89\xe0\xa6\xa8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xad\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\x82\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xa6\xe0\xa7\x87\xe0\xa6\xb6'
